organization,account_id,player,position,fantasy_role,active,evidence,evidence_tier,retrieved_at,note
PARIVISION,73401082,Dukalis,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Falcons,100058342,skiter,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Falcons,898455820,Malr1ne,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Falcons,183719386,AMMAR_THE_F,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Falcons,25907144,Cr1t-,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Falcons,10366616,Sneyking,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Liquid,152962063,m1CKe,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Liquid,201358612,Nisha,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Liquid,97590558,Ace ♠,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Liquid,77490514,Boxi,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Liquid,16497807,tOfu,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Resilience,170896543,YSR-04E,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Resilience,315272623,Echozz,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Resilience,145957968,niu,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Resilience,150961567,planet,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Resilience,249835593,zzq,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Spirit,321580662,Yatoro,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Spirit,106305042,Larl,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Spirit,302214028,Collapse,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Spirit,218231587,not_me,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Spirit,847565596,rue,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Yandex,171262902,医者watson`,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Yandex,312436974,CHIRA_JUNIOR,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Yandex,56351509,DM,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Yandex,103735745,Saksa,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Team Yandex,93817671,Maladych,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Tundra Esports,331855530,Pure,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Tundra Esports,93618577,bzm,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Tundra Esports,86698277,33,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Tundra Esports,346412363,Ari,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Tundra Esports,136829091,Whitemon,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Vici Gaming,320252024,shiro,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Vici Gaming,137129583,Xm,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Vici Gaming,118134220,Bach,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Vici Gaming,157475523,XinQ,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Vici Gaming,111114687,y`,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Xtreme Gaming,898754153,Ame,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Xtreme Gaming,173978074,NothingToSay,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Xtreme Gaming,129958758,Xxs,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Xtreme Gaming,101695162,fy,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Xtreme Gaming,94296097,xNova,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
